発生日:2011/ 2/22 発生場所(22.566167, 144.243333) 震度:1
発生日:2011/ 8/15 発生場所(23.192167, 143.802167) 震度:1
発生日:2011/ 3/29 発生場所(23.208167, 124.633500) 震度:1
発生日:2011/ 9/12 発生場所(23.646500, 122.790000) 震度:1
発生日:2011/ 1/10 発生場所(23.723667, 143.824500) 震度:1
発生日:2011/ 3/27 発生場所(23.959000, 123.589333) 震度:1
発生日:2011/12/23 発生場所(23.976500, 122.538333) 震度:1
発生日:2011/ 8/ 6 発生場所(23.980667, 122.420833) 震度:1
発生日:2011/ 4/16 発生場所(24.002333, 122.850833) 震度:1
発生日:2011/ 9/29 発生場所(24.093000, 123.536333) 震度:1
発生日:2011/12/ 6 発生場所(24.144500, 123.681833) 震度:1
発生日:2011/ 8/ 9 発生場所(24.186000, 123.405500) 震度:1
発生日:2011/ 3/19 発生場所(24.252500, 125.287333) 震度:1
発生日:2011/10/17 発生場所(24.274833, 125.184667) 震度:1
発生日:2011/ 4/ 7 発生場所(24.289333, 123.506500) 震度:1
発生日:2011/ 6/ 5 発生場所(24.353333, 123.676667) 震度:1
発生日:2011/ 6/ 5 発生場所(24.354333, 123.674000) 震度:1
発生日:2011/ 3/14 発生場所(24.369333, 123.479833) 震度:1
発生日:2011/ 8/ 8 発生場所(24.462667, 123.960167) 震度:2
発生日:2011/ 8/ 9 発生場所(24.462667, 123.963167) 震度:2
発生日:2011/10/ 2 発生場所(24.467667, 123.949333) 震度:1
発生日:2011/ 3/28 発生場所(24.547500, 124.320833) 震度:1
発生日:2011/ 4/30 発生場所(24.607167, 121.800167) 震度:1
発生日:2011/ 8/27 発生場所(24.616833, 125.206333) 震度:2
発生日:2011/ 9/14 発生場所(24.706833, 125.153667) 震度:1
発生日:2011/10/17 発生場所(24.734500, 125.408000) 震度:2
発生日:2011/ 3/ 2 発生場所(24.745500, 125.208667) 震度:1
発生日:2011/10/ 3 発生場所(24.746500, 125.084167) 震度:1
発生日:2011/12/25 発生場所(24.747333, 125.411000) 震度:1
発生日:2011/11/ 6 発生場所(24.748000, 125.295000) 震度:1
発生日:2011/ 3/ 2 発生場所(24.755000, 125.218667) 震度:3
発生日:2011/ 5/21 発生場所(24.792000, 125.411833) 震度:1
発生日:2011/10/29 発生場所(24.804667, 125.075167) 震度:1
発生日:2011/10/22 発生場所(24.819167, 125.373833) 震度:2
発生日:2011/ 3/27 発生場所(24.897167, 125.637667) 震度:1
発生日:2011/ 9/10 発生場所(24.988333, 125.584833) 震度:1
発生日:2011/ 7/13 発生場所(24.996500, 123.795167) 震度:2
発生日:2011/ 2/14 発生場所(25.004333, 125.602833) 震度:2
発生日:2011/ 6/ 9 発生場所(25.009000, 125.946667) 震度:1
発生日:2011/ 2/ 9 発生場所(25.098667, 141.653167) 震度:1
発生日:2011/ 4/16 発生場所(25.208667, 124.023500) 震度:2
発生日:2011/10/30 発生場所(25.217333, 122.992667) 震度:2
発生日:2011/ 2/16 発生場所(25.938667, 128.465333) 震度:1
発生日:2011/ 2/15 発生場所(25.958333, 128.444333) 震度:2
発生日:2011/ 2/17 発生場所(25.966667, 128.418333) 震度:2
発生日:2011/ 9/19 発生場所(26.045333, 126.898333) 震度:1
発生日:2011/ 5/ 6 発生場所(26.082833, 128.672500) 震度:2
発生日:2011/ 4/14 発生場所(26.231167, 127.261167) 震度:1
発生日:2011/ 1/18 発生場所(26.238167, 128.376167) 震度:1
発生日:2011/12/ 5 発生場所(26.288333, 127.324167) 震度:1
発生日:2011/ 2/22 発生場所(26.356167, 128.951000) 震度:2
発生日:2011/ 2/22 発生場所(26.360833, 128.942667) 震度:1
発生日:2011/11/24 発生場所(26.494833, 142.618833) 震度:2
発生日:2011/11/ 4 発生場所(26.547167, 128.746167) 震度:1
発生日:2011/ 6/18 発生場所(26.558667, 126.359500) 震度:1
発生日:2011/ 9/30 発生場所(26.612167, 127.756500) 震度:2
発生日:2011/11/ 8 発生場所(26.630333, 127.773167) 震度:2
発生日:2011/ 7/29 発生場所(26.665833, 127.760333) 震度:1
発生日:2011/ 2/18 発生場所(26.701500, 128.085333) 震度:1
発生日:2011/10/ 4 発生場所(26.786833, 140.870833) 震度:2
発生日:2011/10/ 1 発生場所(26.788000, 128.427333) 震度:1
発生日:2011/ 7/25 発生場所(26.793167, 128.425333) 震度:2
発生日:2011/ 3/31 発生場所(27.007667, 142.317667) 震度:2
発生日:2011/ 9/14 発生場所(27.020833, 127.276167) 震度:2
発生日:2011/ 7/ 2 発生場所(27.053833, 127.984167) 震度:1
発生日:2011/ 1/13 発生場所(27.076167, 140.174000) 震度:2
発生日:2011/ 7/16 発生場所(27.093333, 140.315000) 震度:1
発生日:2011/ 7/25 発生場所(27.104333, 127.462333) 震度:1
発生日:2011/ 8/23 発生場所(27.222167, 128.331167) 震度:1
発生日:2011/ 6/30 発生場所(27.224000, 128.634833) 震度:1
